,vearly,vdsat,self_gain,region,id,gmoverid,gmbs,gm,gds,ft,csb,cgs,cgd,cdb,vbs,w,l,vsd,vsg,vsdat,cgb,cds
76,0.5489,-0.08451,16.47,0.0,-1.418e-10,30.01,3.186e-10,3.809e-09,2.312e-10,585500.0,7.243e-16,4.179e-16,3.884e-16,6.41e-16,0.4,2.2999999999999996e-06,6.000000000000001e-08,0.3,0.05,,,
77,0.548,-0.08458,16.48,0.0,-5.848e-10,30.08,1.421e-09,1.715e-08,1.04e-09,2627000.0,7.243e-16,4.218e-16,3.927e-16,6.41e-16,0.4,2.2999999999999996e-06,6.000000000000001e-08,0.3,0.1,,,
78,0.5472,-0.08465,16.5,0.0,-2.584e-09,30.14,6.373e-09,7.744e-08,4.695e-09,11820000.0,7.243e-16,4.25e-16,3.975e-16,6.41e-16,0.4,2.2999999999999996e-06,6.000000000000001e-08,0.3,0.15,,,
79,0.5467,-0.08472,16.51,0.0,-1.163e-08,30.19,2.87e-08,3.506e-07,2.124e-08,53290000.0,7.244e-16,4.285e-16,4.027e-16,6.41e-16,0.4,2.2999999999999996e-06,6.000000000000001e-08,0.3,0.2,,,
80,0.5468,-0.08481,16.51,3.0,-5.259e-08,30.2,1.295e-07,1.588e-06,9.615e-08,238900000.0,7.248e-16,4.381e-16,4.081e-16,6.413e-16,0.4,2.2999999999999996e-06,6.000000000000001e-08,0.3,0.25,,,
81,0.5499,-0.08494,16.5,3.0,-2.372e-07,30.01,5.796e-07,7.12e-06,4.314e-07,1030000000.0,7.274e-16,4.827e-16,4.133e-16,6.427e-16,0.4,2.2999999999999996e-06,6.000000000000001e-08,0.3,0.3,,,
82,0.5644,-0.08531,16.43,3.0,-1.045e-06,29.11,2.474e-06,3.043e-05,1.852e-06,3832000000.0,7.373e-16,6.586e-16,4.179e-16,6.482e-16,0.4,2.2999999999999996e-06,6.000000000000001e-08,0.3,0.35,,,
83,0.6107,-0.0866,16.19,3.0,-4.233e-06,26.5,9.105e-06,0.0001122,6.932e-06,11290000000.0,7.552e-16,1.001e-15,4.218e-16,6.594e-16,0.4,2.2999999999999996e-06,6.000000000000001e-08,0.3,0.4,,,
84,0.7023,-0.0907,15.7,3.0,-1.442e-05,22.35,2.607e-05,0.0003222,2.053e-05,27300000000.0,7.702e-16,1.321e-15,4.25e-16,6.702e-16,0.4,2.2999999999999996e-06,6.000000000000001e-08,0.3,0.45,,,
85,0.8458,-0.0998,14.86,2.0,-3.911e-05,17.57,5.536e-05,0.0006872,4.624e-05,52440000000.0,7.797e-16,1.543e-15,4.281e-16,6.777e-16,0.4,2.2999999999999996e-06,6.000000000000001e-08,0.3,0.5,,,
